"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","is_billpaid","month","year","receivedamt","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"132664","2023-02-15","Billing","1447","1436","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001474-01",None
"132665","2023-02-15","Billing","3718","3718","0","C002",None,"30","0","1","2023",None,"0","liza1973","","0000001479-01",None
"132666","2023-02-15","Billing","811","791","20","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001573-01",None
"132667","2023-02-15","Billing","1088","1065","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001584-01",None
"132668","2023-02-15","Billing","1306","1267","39","C001",None,"82","0","1","2023",None,"0","liza1973","","0000001606-01",None
"132669","2023-02-15","Received Amount",None,None,None,None,None,None,"0","2","2023","785",None,"liza1973","9960880","0000001422-01",None
"132670","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"25",None,"","0000001422-01",None
"132671","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"31",None,"","0000001422-01",None
"132672","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2022",None,"25",None,"","0000001422-01",None
"132673","2023-02-15","Payment",None,None,None,None,None,None,"0","10","2022",None,"43",None,"","0000001422-01",None
"132674","2023-02-15","Payment",None,None,None,None,None,None,"0","9","2022",None,"55",None,"","0000001422-01",None
"132675","2023-02-15","Payment",None,None,None,None,None,None,"0","8","2022",None,"37",None,"","0000001422-01",None
"132676","2023-02-15","Payment",None,None,None,None,None,None,"0","7","2022",None,"55",None,"","0000001422-01",None
"132677","2023-02-15","Payment",None,None,None,None,None,None,"0","6","2022",None,"64",None,"","0000001422-01",None
"132678","2023-02-15","Payment",None,None,None,None,None,None,"0","5","2022",None,"61",None,"","0000001422-01",None
"132679","2023-02-15","Payment",None,None,None,None,None,None,"0","4","2022",None,"58",None,"","0000001422-01",None
"132680","2023-02-15","Payment",None,None,None,None,None,None,"0","3","2022",None,"40",None,"","0000001422-01",None
"132681","2023-02-15","Payment",None,None,None,None,None,None,"0","2","2022",None,"25",None,"","0000001422-01",None
"132682","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2022",None,"25",None,"","0000001422-01",None
"132683","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2021",None,"25",None,"","0000001422-01",None
"132684","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2021",None,"61",None,"","0000001422-01",None
"132685","2023-02-15","Payment",None,None,None,None,None,None,"0","10","2021",None,"64",None,"","0000001422-01",None
"132686","2023-02-15","Payment",None,None,None,None,None,None,"0","9","2021",None,"67",None,"","0000001422-01",None
"132687","2023-02-15","Billing","1051","1037","14","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001719-01",None
"132688","2023-02-15","Billing","689","678","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001162-01",None
"132689","2023-02-15","Billing","941","921","20","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001870-01",None
"132690","2023-02-15","Billing","1093","1065","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000001893-01",None
"132691","2023-02-15","Billing","680","657","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000001900-01",None
"132692","2023-02-15","Billing","986","954","32","C001",None,"61","0","1","2023",None,"0","liza1973","","0000001975-01",None
"132693","2023-02-15","Billing","222","151","71","C001",None,"178","0","1","2023",None,"0","liza1973","","0000001951-01",None
"132694","2023-02-15","Billing","1050","1050","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001296-01",None
"132695","2023-02-15","Billing","1468","1440","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000001848-01",None
"132696","2023-02-15","Billing","9513","9489","24","C001",None,"37","0","1","2023",None,"0","liza1973","","0000000071-01",None
"132697","2023-02-15","Billing","2601","2601","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001990-01",None
"132698","2023-02-15","Billing","2005","1932","73","C001",None,"184","0","1","2023",None,"0","liza1973","","0000001999-01",None
"132699","2023-02-15","Billing","544","510","34","C001",None,"67","0","1","2023",None,"0","liza1973","","0000002003-01",None
"132700","2023-02-15","Billing","375","366","9","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002013-01",None
"132701","2023-02-15","Billing","959","910","49","C002",None,"146","0","1","2023",None,"0","liza1973","","0000001796-01",None
"132702","2023-02-15","Billing","2217","2065","152","C002",None,"558","0","1","2023",None,"0","liza1973","","0000002023-01",None
"132703","2023-02-15","Billing","252","223","29","C001",None,"52","0","1","2023",None,"0","liza1973","","0000002024-01",None
"132704","2023-02-15","Billing","592","543","49","C001",None,"112","0","1","2023",None,"0","liza1973","","0000002025-01",None
"132705","2023-02-15","Billing","167","167","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002026-01",None
"132706","2023-02-15","Billing","536","500","36","C001",None,"73","0","1","2023",None,"0","liza1973","","0000002027-01",None
"132707","2023-02-15","Billing","26","21","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002067-01",None
"132708","2023-02-15","Billing","48","43","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002058-01",None
"132709","2023-02-15","Billing","892","774","118","C001",None,"319","0","1","2023",None,"0","liza1973","","0000002076-01",None
"132710","2023-02-15","Billing","130","113","17","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002078-01",None
"132711","2023-02-15","Billing","346","200","146","C001",None,"403","0","1","2023",None,"0","liza1973","","0000002074-01",None
"132712","2023-02-15","Billing","34","29","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002091-01",None
"132713","2023-02-15","Billing","410","233","177","C001",None,"496","0","1","2023",None,"0","liza1973","","0000002109-01",None
"132714","2023-02-15","Billing","30","22","8","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002104-01",None
"132715","2023-02-15","Billing","5","0","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000002115-01",None
"132716","2023-02-15","Billing","4021","3990","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001243-01",None
"132717","2023-02-15","Billing","985","954","31","C001",None,"58","0","1","2023",None,"0","liza1973","","0000001895-01",None
"132718","2023-02-15","Billing","2716","2705","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000269-01",None
"132719","2023-02-15","Billing","4765","4739","26","C001",None,"43","1","1","2023",None,"0","liza1973","","0000000272-01",None
"132720","2023-02-15","Billing","3147","3147","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000960-01",None
"132721","2023-02-15","Billing","7343","7294","49","C001",None,"112","0","1","2023",None,"0","liza1973","","0000000275-01",None
"132722","2023-02-15","Billing","4164","4164","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000276-01",None
"132723","2023-02-15","Billing","2796","2735","-2735","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000493-01",None
"132724","2023-02-15","Billing","1303","1303","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000279-01",None
"132725","2023-02-15","Billing","4173","4158","15","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000281-01",None
"132726","2023-02-15","Billing","10344","10312","32","C001",None,"61","0","1","2023",None,"0","liza1973","","0000000285-01",None
"132727","2023-02-15","Billing","1138","1128","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001424-01",None
"132728","2023-02-15","Billing","5160","5098","62","C001",None,"151","0","1","2023",None,"0","liza1973","","0000000289-01",None
"132729","2023-02-15","Billing","2084","2059","25","C001",None,"40","0","1","2023",None,"0","liza1973","","0000000296-01",None
"132730","2023-02-15","Billing","235","208","27","C001",None,"46","0","1","2023",None,"0","liza1973","","0000000300-01",None
"132731","2023-02-15","Billing","681","621","60","C001",None,"145","0","1","2023",None,"0","liza1973","","0000001381-01",None
"132732","2023-02-15","Billing","0","2488","-2488","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001444-01",None
"132733","2023-02-15","Billing","2915","2823","92","C001",None,"241","0","1","2023",None,"0","liza1973","","0000001596-01",None
"132734","2023-02-15","Billing","5293","5263","30","C001",None,"55","0","1","2023",None,"0","liza1973","","0000000303-01",None
"132735","2023-02-15","Billing","1239","1217","22","C001",None,"31","0","1","2023",None,"0","liza1973","","0000001767-01",None
"132736","2023-02-15","Billing","7477","7419","58","C001",None,"139","1","1","2023",None,"0","liza1973","","0000000304-01",None
"132737","2023-02-15","Billing","1373","1339","34","C001",None,"67","0","1","2023",None,"0","liza1973","","0000000321-01",None
"132738","2023-02-15","Billing","2061","2053","8","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000318-01",None
"132739","2023-02-15","Billing","1871","1860","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000307-01",None
"132740","2023-02-15","Billing","1627","1627","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000308-01",None
"132741","2023-02-15","Billing","3912","3822","90","C001",None,"235","0","1","2023",None,"0","liza1973","","0000001242-01",None
"132742","2023-02-15","Billing","4766","4738","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000000577-01",None
"132743","2023-02-15","Billing","7226","7208","18","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000317-01",None
"132744","2023-02-15","Billing","11545","11524","21","C001",None,"28","0","1","2023",None,"0","liza1973","","0000000323-01",None
"132745","2023-02-15","Billing","2435","2421","14","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000327-01",None
"132746","2023-02-15","Billing","3221","3210","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000329-01",None
"132747","2023-02-15","Billing","1476","1447","29","C001",None,"52","0","1","2023",None,"0","liza1973","","0000000372-01",None
"132748","2023-02-15","Billing","4342","4331","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000330-01",None
"132749","2023-02-15","Billing","3268","3258","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000332-01",None
"132750","2023-02-15","Billing","2151","2147","4","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000334-01",None
"132751","2023-02-15","Billing","2986","2979","7","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000336-01",None
"132752","2023-02-15","Billing","4275","4265","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000338-01",None
"132753","2023-02-15","Billing","3083","3072","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000341-01",None
"132754","2023-02-15","Billing","4542","4542","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000343-01",None
"132755","2023-02-15","Billing","2925","2902","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000000344-01",None
"132756","2023-02-15","Billing","9136","9066","70","C001",None,"175","0","1","2023",None,"0","liza1973","","0000000345-01",None
"132757","2023-02-15","Billing","942","926","16","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000099-01",None
"132758","2023-02-15","Billing","3879","3819","60","C001",None,"145","0","1","2023",None,"0","liza1973","","0000000350-01",None
"132759","2023-02-15","Billing","11039","10986","53","C001",None,"124","0","1","2023",None,"0","liza1973","","0000000351-01",None
"132760","2023-02-15","Billing","1176","1147","29","C001",None,"52","0","1","2023",None,"0","liza1973","","0000000353-01",None
"132761","2023-02-15","Billing","3335","3335","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000354-01",None
"132762","2023-02-15","Billing","5564","5536","28","C001",None,"49","0","1","2023",None,"0","liza1973","","0000000357-01",None
"132763","2023-02-15","Billing","2555","2476","79","C001",None,"202","0","1","2023",None,"0","liza1973","","0000001006-01",None
"132764","2023-02-15","Billing","1453","1429","24","C001",None,"37","0","1","2023",None,"0","liza1973","","0000000361-01",None
"132765","2023-02-15","Billing","415","360","55","C001",None,"130","0","1","2023",None,"0","liza1973","","0000000362-01",None
"132766","2023-02-15","Billing","2511","2501","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000364-01",None
"132767","2023-02-15","Billing","1235","1210","25","C001",None,"40","0","1","2023",None,"0","liza1973","","0000000365-01",None
"132768","2023-02-15","Billing","3620","3605","15","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000366-01",None
"132769","2023-02-15","Billing","2266","2261","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000367-01",None
"132770","2023-02-15","Billing","4887","4864","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000000368-01",None
"132771","2023-02-15","Billing","7828","7809","19","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000369-01",None
"132772","2023-02-15","Billing","14135","14087","48","C001",None,"109","0","1","2023",None,"0","liza1973","","0000000370-01",None
"132773","2023-02-15","Billing","5867","5856","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000371-01",None
"132774","2023-02-15","Billing","1300","0","1300","C001",None,"3865","0","1","2023",None,"0","liza1973","","0000000373-01",None
"132775","2023-02-15","Billing","1300","0","1300","C001",None,"3865","0","12","2022",None,"0","liza1973","","0000000373-01",None
"132776","2023-02-15","Billing","6858","6826","32","C001",None,"61","0","1","2023",None,"0","liza1973","","0000000375-01",None
"132777","2023-02-15","Billing","435","416","19","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000394-01",None
"132778","2023-02-15","Billing","11348","11307","41","C001",None,"88","0","1","2023",None,"0","liza1973","","0000000382-01",None
"132779","2023-02-15","Billing","5037","0","5037","C001",None,"15076","0","1","2023",None,"0","liza1973","","0000000384-01",None
"132780","2023-02-15","Billing","5037","0","5037","C001",None,"15076","0","12","2022",None,"0","liza1973","","0000000384-01",None
"132781","2023-02-15","Billing","8342","8324","18","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000387-01",None
"132782","2023-02-15","Billing","3736","3722","14","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000391-01",None
"132783","2023-02-15","Billing","3239","3234","5","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000393-01",None
"132784","2023-02-15","Billing","1362","1324","38","C001",None,"79","0","1","2023",None,"0","liza1973","","0000000396-01",None
"132785","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"5863","liza1973","","0000000023-01",None
"132786","2023-02-15","Received Amount",None,None,None,None,None,None,"0","1","2023","5863",None,"liza1973","9963830","0000000023-01",None
"132787","2023-02-15","Billing","913","891","22","C002",None,"38","0","1","2023",None,"0","liza1973","","0000000401-01",None
"132788","2023-02-15","Billing","5626","5609","17","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001240-01",None
"132789","2023-02-15","Billing","145","141","4","C001",None,"25","0","1","2023",None,"0","liza1973","","0000001044-01",None
"132790","2023-02-15","Billing","2955","2943","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000411-01",None
"132791","2023-02-15","Billing","4896","4886","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000408-01",None
"132792","2023-02-15","Billing","2094","2084","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000410-01",None
"132793","2023-02-15","Billing","1752","1748","4","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000414-01",None
"132794","2023-02-15","Billing","4939","0","4939","C001",None,"14782","0","1","2023",None,"0","liza1973","","0000000416-01",None
"132795","2023-02-15","Billing","4939","0","4939","C001",None,"14782","0","12","2022",None,"0","liza1973","","0000000416-01",None
"132796","2023-02-15","Billing","2801","2774","27","C001",None,"46","0","1","2023",None,"0","liza1973","","0000000418-01",None
"132797","2023-02-15","Billing","1648","1637","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000420-01",None
"132798","2023-02-15","Billing","3051","3021","30","C001",None,"55","0","1","2023",None,"0","liza1973","","0000000422-01",None
"132799","2023-02-15","Billing","4973","4953","20","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000424-01",None
"132800","2023-02-15","Billing","3695","3662","33","C001",None,"64","0","1","2023",None,"0","liza1973","","0000000426-01",None
"132801","2023-02-15","Billing","1014","1014","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000428-01",None
"132802","2023-02-15","Billing","1038","1038","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000430-01",None
"132803","2023-02-15","Billing","5108","5108","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000432-01",None
"132804","2023-02-15","Billing","4845","4692","153","C001",None,"424","0","1","2023",None,"0","liza1973","","0000001494-01",None
"132805","2023-02-15","Billing","2597","0","2597","C001",None,"7756","0","1","2023",None,"0","liza1973","","0000001557-01",None
"132806","2023-02-15","Billing","2597","0","2597","C001",None,"7756","0","12","2022",None,"0","liza1973","","0000001557-01",None
"132807","2023-02-15","Billing","1417","0","1417","C001",None,"4216","0","1","2023",None,"0","liza1973","","0000001558-01",None
"132808","2023-02-15","Billing","1417","0","1417","C001",None,"4216","0","12","2022",None,"0","liza1973","","0000001558-01",None
"132809","2023-02-15","Billing","6264","6252","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000437-01",None
"132810","2023-02-15","Billing","3068","3058","10","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000443-01",None
"132811","2023-02-15","Received Amount",None,None,None,None,None,None,"0","2","2023","24272",None,"liza1973","9963830","0000000527-01",None
"132812","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2023",None,"24247",None,"","0000000527-01",None
"132813","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"25",None,"","0000000527-01",None
"132814","2023-02-15","Billing","1367","1352","15","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000445-01",None
"132815","2023-02-15","Billing","5343","5338","5","C001",None,"25","1","1","2023",None,"0","liza1973","","0000000208-01",None
"132816","2023-02-15","Billing","4180","0","4180","C001",None,"12505","1","1","2023",None,"0","liza1973","","0000000448-01",None
"132817","2023-02-15","Billing","4180","0","4180","C001",None,"12505","0","12","2022",None,"0","liza1973","","0000000448-01",None
"132818","2023-02-15","Billing","3007","2995","12","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000452-01",None
"132819","2023-02-15","Billing","6409","6351","58","C001",None,"139","0","1","2023",None,"0","liza1973","","0000000455-01",None
"132820","2023-02-15","Billing","3219","3215","7955","C001",None,"23830","0","1","2023",None,"0","liza1973","","0000000935-01",None
"132821","2023-02-15","Billing","4067","4065","2","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000460-01",None
"132822","2023-02-15","Billing","543","543","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000463-01",None
"132823","2023-02-15","Billing","6065","6021","44","C001",None,"97","0","1","2023",None,"0","liza1973","","0000001144-01",None
"132824","2023-02-15","Billing","1393","1344","49","C001",None,"112","0","1","2023",None,"0","liza1973","","0000000465-01",None
"132825","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"25","liza1973","","0000001841-01",None
"132826","2023-02-15","Received Amount",None,None,None,None,None,None,"0","12","2022","25",None,"liza1973","9962006","0000001841-01",None
"132827","2023-02-15","Billing","242","242","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000466-01",None
"132828","2023-02-15","Payment",None,None,None,None,None,None,"0","1","2022",None,"25","liza1973","","0000001841-01",None
"132829","2023-02-15","Received Amount",None,None,None,None,None,None,"0","1","2022","25",None,"liza1973","9962006","0000001841-01",None
"132830","2023-02-15","Payment",None,None,None,None,None,None,"0","3","2022",None,"25","liza1973","","0000001841-01",None
"132831","2023-02-15","Received Amount",None,None,None,None,None,None,"0","3","2022","25",None,"liza1973","9962006","0000001841-01",None
"132832","2023-02-15","Payment",None,None,None,None,None,None,"0","4","2022",None,"25","liza1973","","0000001841-01",None
"132833","2023-02-15","Received Amount",None,None,None,None,None,None,"0","4","2022","25",None,"liza1973","9962006","0000001841-01",None
"132834","2023-02-15","Billing","6452","6419","33","C001",None,"64","0","1","2023",None,"0","liza1973","","0000000468-01",None
"132835","2023-02-15","Payment",None,None,None,None,None,None,"0","5","2022",None,"25","liza1973","","0000001841-01",None
"132836","2023-02-15","Received Amount",None,None,None,None,None,None,"0","5","2022","25",None,"liza1973","9962006","0000001841-01",None
"132837","2023-02-15","Payment",None,None,None,None,None,None,"0","6","2022",None,"25","liza1973","","0000001841-01",None
"132838","2023-02-15","Received Amount",None,None,None,None,None,None,"0","6","2022","25",None,"liza1973","9962006","0000001841-01",None
"132839","2023-02-15","Billing","5273","0","5273","C001",None,"15784","0","1","2023",None,"0","liza1973","","0000000469-01",None
"132840","2023-02-15","Payment",None,None,None,None,None,None,"0","7","2022",None,"25","liza1973","","0000001841-01",None
"132841","2023-02-15","Received Amount",None,None,None,None,None,None,"0","7","2022","25",None,"liza1973","9962006","0000001841-01",None
"132842","2023-02-15","Payment",None,None,None,None,None,None,"0","8","2022",None,"25","liza1973","","0000001841-01",None
"132843","2023-02-15","Received Amount",None,None,None,None,None,None,"0","8","2022","25",None,"liza1973","9962006","0000001841-01",None
"132844","2023-02-15","Payment",None,None,None,None,None,None,"0","9","2022",None,"25","liza1973","","0000001841-01",None
"132845","2023-02-15","Received Amount",None,None,None,None,None,None,"0","9","2022","25",None,"liza1973","9962006","0000001841-01",None
"132846","2023-02-15","Billing","5273","5256","17","C001",None,"25","0","12","2022",None,"0","liza1973","","0000000469-01",None
"132847","2023-02-15","Payment",None,None,None,None,None,None,"0","10","2022",None,"25","liza1973","","0000001841-01",None
"132848","2023-02-15","Received Amount",None,None,None,None,None,None,"0","10","2022","25",None,"liza1973","9962006","0000001841-01",None
"132849","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2022",None,"25","liza1973","","0000001841-01",None
"132850","2023-02-15","Received Amount",None,None,None,None,None,None,"0","11","2022","25",None,"liza1973","9962006","0000001841-01",None
"132851","2023-02-15","Payment",None,None,None,None,None,None,"0","6","2021",None,"25","liza1973","","0000001841-01",None
"132852","2023-02-15","Received Amount",None,None,None,None,None,None,"0","6","2021","25",None,"liza1973","123","0000001841-01",None
"132853","2023-02-15","Billing","1645","1645","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000470-01",None
"132854","2023-02-15","Payment",None,None,None,None,None,None,"0","10","2021",None,"25","liza1973","","0000001841-01",None
"132855","2023-02-15","Received Amount",None,None,None,None,None,None,"0","10","2021","25",None,"liza1973","9962006","0000001841-01",None
"132856","2023-02-15","Billing","6430","6405","25","C001",None,"40","0","1","2023",None,"0","liza1973","","0000001057-01",None
"132857","2023-02-15","Payment",None,None,None,None,None,None,"0","11","2021",None,"25","liza1973","","0000001841-01",None
"132858","2023-02-15","Received Amount",None,None,None,None,None,None,"0","11","2021","25",None,"liza1973","9962006","0000001841-01",None
"132859","2023-02-15","Billing","300","298","2","C001",None,"25","1","1","2023",None,"0","liza1973","","0000001149-01",None
"132860","2023-02-15","Billing","3755","3730","25","C001",None,"40","0","1","2023",None,"0","liza1973","","0000001008-01",None
"132861","2023-02-15","Billing","14124","14107","17","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000477-01",None
"132862","2023-02-15","Billing","8447","8447","0","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000480-01",None
"132863","2023-02-15","Billing","5669","5646","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000000482-01",None
"132864","2023-02-15","Billing","2058","2058","-2058","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000948-01",None
"132865","2023-02-15","Payment",None,None,None,None,None,None,"0","12","2022",None,"5032","liza1973","","0000000075-01",None
"132866","2023-02-15","Received Amount",None,None,None,None,None,None,"0","12","2022","5032",None,"liza1973","9962007","0000000075-01",None
"132867","2023-02-15","Billing","4299","4276","23","C001",None,"34","0","1","2023",None,"0","liza1973","","0000000490-01",None
"132868","2023-02-15","Billing","907","896","11","C001",None,"25","0","1","2023",None,"0","liza1973","","0000000492-01",None
