"transactionid","date","transType","meterReading","prevReading","usage","contypeid","discountcode","bill","month","year","payment","processedBy","or_number","acctID_id","penaltyCode_id"
"24291","2023-02-13","Billing","457","0","457","C001",\N,"1336","1","2023","0","liza1973","","0000001027-01",\N
"24292","2023-02-13","Billing","9380","9320","9380","C001",\N,"28105","1","2023","0","liza1973","","0000000182-01",\N
"24293","2023-02-13","Billing","13017","0","13017","C001",\N,"39016","1","2023","0","liza1973","","0000001007-01",\N
"24294","2023-02-13","Billing","4548","0","4548","C001",\N,"13609","1","2023","0","liza1973","","0000000180-01",\N
"24295","2023-02-13","Billing","0","0","5","C001",\N,"25","1","2023","0","liza1973","","0000000176-01",\N
"24296","2023-02-13","Billing","535","0","535","C001",\N,"1570","1","2023","0","liza1973","","0000000168-01",\N
"24297","2023-02-13","Billing","12317","0","12317","C001",\N,"36916","1","2023","0","liza1973","","0000000156-01",\N
"24298","2023-02-13","Billing","5911","0","5911","C001",\N,"17698","1","2023","0","liza1973","","0000000154-01",\N
"24299","2023-02-13","Billing","1801","0","1801","C001",\N,"5368","1","2023","0","liza1973","","0000000153-01",\N
"24300","2023-02-13","Billing","3499","3491","8","C001",\N,"25","1","2023","0","liza1973","","0000000151-01",\N
"24301","2023-02-13","Billing","1541","1530","11","C001",\N,"25","1","2023","0","liza1973","","0000000032-01",\N
"24302","2023-02-13","Billing","0","173","5","C001",\N,"25","1","2023","0","liza1973","","0000001718-01",\N
"24303","2023-02-13","Billing","3613","3533","80","C001",\N,"205","1","2023","0","liza1973","","0000001380-01",\N
"24304","2023-02-13","Billing","1519","1505","14","C001",\N,"25","1","2023","0","liza1973","","0000000148-01",\N
"24305","2023-02-13","Billing","6601","0","6601","C001",\N,"19768","1","2023","0","liza1973","","0000000146-01",\N
"24306","2023-02-13","Billing","2645","2634","11","C002",\N,"30","1","2023","0","liza1973","","0000000144-01",\N
"24307","2023-02-13","Billing","8548","0","8548","C001",\N,"25609","1","2023","0","liza1973","","0000000142-01",\N
"24308","2023-02-13","Billing","23706","23313","393","C001",\N,"1144","1","2023","0","liza1973","","0000000141-01",\N
"24309","2023-02-13","Billing","1848","1643","205","C001",\N,"580","1","2023","0","liza1973","","0000001080-01",\N
"24310","2023-02-13","Billing","1490","0","1490","C001",\N,"4435","1","2023","0","liza1973","","0000000139-01",\N
"24311","2023-02-13","Billing","3622","0","3622","C001",\N,"10831","1","2023","0","liza1973","","0000000138-01",\N
"24312","2023-02-13","Billing","667","633","34","C001",\N,"67","1","2023","0","liza1973","","0000000137-01",\N
"24313","2023-02-13","Billing","6371","6307","64","C001",\N,"157","1","2023","0","liza1973","","0000000135-01",\N
"24314","2023-02-13","Billing","461","455","6","C001",\N,"25","1","2023","0","liza1973","","0000000134-01",\N
"24315","2023-02-13","Billing","3061","3051","10","C001",\N,"25","1","2023","0","liza1973","","0000000132-01",\N
"24316","2023-02-13","Billing","6891","6877","14","C001",\N,"25","1","2023","0","liza1973","","0000000129-01",\N
"24317","2023-02-13","Billing","4208","4182","26","C001",\N,"43","1","2023","0","liza1973","","0000000126-01",\N
"24318","2023-02-13","Billing","7478","7457","21","C001",\N,"28","1","2023","0","liza1973","","0000000124-01",\N
"24319","2023-02-13","Billing","420","411","9","C001",\N,"25","1","2023","0","liza1973","","0000001763-01",\N
"24320","2023-02-13","Billing","7276","7269","7","C001",\N,"25","1","2023","0","liza1973","","0000000093-01",\N
"24321","2023-02-13","Billing","938","905","33","C001",\N,"64","1","2023","0","liza1973","","0000001731-01",\N
"24322","2023-02-13","Billing","600","0","600","C001",\N,"1765","1","2023","0","liza1973","","0000000091-01",\N
"24323","2023-02-13","Billing","1587","1577","10","C001",\N,"25","1","2023","0","liza1973","","0000000122-01",\N
"24324","2023-02-13","Billing","1518","1507","11","C001",\N,"25","1","2023","0","liza1973","","0000001164-01",\N
"24325","2023-02-13","Billing","1230","0","1230","C001",\N,"3655","1","2023","0","liza1973","","0000000119-01",\N
"24326","2023-02-13","Billing","3420","0","3420","C001",\N,"10225","1","2023","0","liza1973","","0000000100-01",\N
"24327","2023-02-13","Billing","0","0","5","C001",\N,"25","1","2023","0","liza1973","","0000000096-01",\N
"24328","2023-02-13","Billing","6372","0","6372","C001",\N,"19081","1","2023","0","liza1973","","0000000095-01",\N
"24329","2023-02-13","Billing","1695","0","1695","C001",\N,"5050","1","2023","0","liza1973","","0000000075-01",\N
"24330","2023-02-13","Billing","0","0","5","C001",\N,"25","1","2023","0","liza1973","","0000000088-01",\N
"24331","2023-02-13","Billing","2008","1998","10","C001",\N,"25","1","2023","0","liza1973","","0000001886-01",\N
"24332","2023-02-13","Billing","0","4016","5","C001",\N,"25","1","2023","0","liza1973","","0000000086-01",\N
"24333","2023-02-13","Billing","239","239","0","C001",\N,"25","1","2023","0","liza1973","","0000002035-01",\N
"24334","2023-02-13","Billing","893","856","37","C001",\N,"76","1","2023","0","liza1973","","0000000114-01",\N
"24335","2023-02-13","Billing","6051","5953","98","C001",\N,"259","1","2023","0","liza1973","","0000000113-01",\N
"24336","2023-02-13","Billing","6416","6366","50","C001",\N,"115","1","2023","0","liza1973","","0000000111-01",\N
"24337","2023-02-13","Billing","7117","7074","43","C001",\N,"94","1","2023","0","liza1973","","0000000107-01",\N
"24338","2023-02-13","Billing","11670","11589","81","C001",\N,"208","1","2023","0","liza1973","","0000000084-01",\N
"24339","2023-02-13","Billing","985","914","71","C001",\N,"178","1","2023","0","liza1973","","0000000968-01",\N
"24340","2023-02-13","Billing","663","645","18","C001",\N,"25","1","2023","0","liza1973","","0000000083-01",\N
"24341","2023-02-13","Billing","2495","2443","52","C001",\N,"121","1","2023","0","liza1973","","0000000094-01",\N
"24342","2023-02-13","Billing","1374","1339","35","C001",\N,"70","1","2023","0","liza1973","","0000001876-01",\N
"24343","2023-02-13","Billing","2023","2014","9","C001",\N,"25","1","2023","0","liza1973","","0000001064-01",\N
"24344","2023-02-13","Billing","8281","8271","10","C001",\N,"25","1","2023","0","liza1973","","0000000155-01",\N
"24345","2023-02-13","Billing","2438","2356","82","C001",\N,"211","1","2023","0","liza1973","","0000000680-01",\N
"24346","2023-02-13","Billing","0","9898","-9898","C001",\N,"25","1","2023","0","liza1973","","0000000778-01",\N
"24347","2023-02-13","Billing","8858","8817","41","C001",\N,"88","1","2023","0","liza1973","","0000000082-01",\N
"24348","2023-02-13","Billing","8003","7993","10","C001",\N,"25","1","2023","0","liza1973","","0000000056-01",\N
"24349","2023-02-13","Billing","14284","14236","48","C001",\N,"109","1","2023","0","liza1973","","0000000058-01",\N
"24350","2023-02-13","Billing","1063","1038","25","C001",\N,"40","1","2023","0","liza1973","","0000001832-01",\N
"24351","2023-02-13","Billing","6323","6298","25","C001",\N,"40","1","2023","0","liza1973","","0000000081-01",\N
"24352","2023-02-13","Billing","11825","11732","93","C001",\N,"244","1","2023","0","liza1973","","0000001071-01",\N
"24353","2023-02-13","Billing","1286","1261","25","C001",\N,"40","1","2023","0","liza1973","","0000001043-01",\N
"24354","2023-02-13","Billing","2291","2267","24","C001",\N,"37","1","2023","0","liza1973","","0000001251-01",\N
"24355","2023-02-13","Billing","952","926","26","C001",\N,"43","1","2023","0","liza1973","","0000001084-01",\N
"24356","2023-02-13","Billing","2915","2892","23","C001",\N,"34","1","2023","0","liza1973","","0000000079-01",\N
"24357","2023-02-13","Billing","2068","2037","31","C001",\N,"58","1","2023","0","liza1973","","0000000986-01",\N
"24358","2023-02-13","Billing","3231","3190","41","C001",\N,"88","1","2023","0","liza1973","","0000001140-01",\N
"24359","2023-02-13","Billing","2885","0","2885","C001",\N,"8620","1","2023","0","liza1973","","0000000077-01",\N
"24360","2023-02-13","Billing","6502","6480","22","C001",\N,"31","1","2023","0","liza1973","","0000000073-01",\N
"24361","2023-02-13","Billing","4517","0","4517","C001",\N,"13516","1","2023","0","liza1973","","0000000044-01",\N
"24362","2023-02-13","Billing","7483","7448","35","C001",\N,"70","1","2023","0","liza1973","","0000000043-01",\N
"24363","2023-02-13","Billing","6359","6308","51","C001",\N,"118","1","2023","0","liza1973","","0000001261-01",\N
"24364","2023-02-13","Billing","3365","0","3365","C001",\N,"10060","1","2023","0","liza1973","","0000000069-01",\N
"24365","2023-02-13","Billing","5939","5907","32","C001",\N,"61","1","2023","0","liza1973","","0000000065-01",\N
"24366","2023-02-13","Billing","3305","0","3305","C001",\N,"9880","1","2023","0","liza1973","","0000000063-01",\N
"24367","2023-02-13","Billing","3682","3678","4","C001",\N,"25","1","2023","0","liza1973","","0000001484-01",\N
"24368","2023-02-13","Billing","5165","5092","73","C001",\N,"184","1","2023","0","liza1973","","0000000979-01",\N
"24369","2023-02-13","Billing","7919","7899","20","C001",\N,"25","1","2023","0","liza1973","","0000000061-01",\N
"24370","2023-02-13","Billing","617","570","47","C001",\N,"106","1","2023","0","liza1973","","0000000049-01",\N
"24371","2023-02-13","Billing","661","630","31","C001",\N,"58","1","2023","0","liza1973","","0000000059-01",\N
"24372","2023-02-13","Billing","738","709","29","C001",\N,"52","1","2023","0","liza1973","","0000000051-01",\N
"24373","2023-02-13","Billing","5542","0","5542","C001",\N,"16591","1","2023","0","liza1973","","0000000042-01",\N
"24374","2023-02-13","Billing","3099","3093","6","C001",\N,"25","1","2023","0","liza1973","","0000000038-01",\N
"24375","2023-02-13","Billing","320","0","320","C001",\N,"925","1","2023","0","liza1973","","0000000034-01",\N
"24376","2023-02-13","Billing","1121","1074","47","C001",\N,"106","1","2023","0","liza1973","","0000000008-01",\N
"24377","2023-02-13","Billing","3398","3316","82","C001",\N,"211","1","2023","0","liza1973","","0000000007-01",\N
"24378","2023-02-13","Billing","10938","10881","57","C001",\N,"136","1","2023","0","liza1973","","0000000016-01",\N
"24379","2023-02-13","Billing","4980","0","4980","C001",\N,"14905","1","2023","0","liza1973","","0000000018-01",\N
"24380","2023-02-13","Billing","3636","3616","20","C001",\N,"25","1","2023","0","liza1973","","0000000048-01",\N
"24381","2023-02-13","Billing","3063","3035","28","C001",\N,"49","1","2023","0","liza1973","","0000001112-01",\N
"24382","2023-02-13","Billing","120","0","120","C001",\N,"325","1","2023","0","liza1973","","0000001050-01",\N
"24383","2023-02-13","Billing","1779","0","1779","C001",\N,"5302","1","2023","0","liza1973","","0000001791-01",\N
"24384","2023-02-13","Billing","1398","1282","116","C001",\N,"313","1","2023","0","liza1973","","0000000027-01",\N
"24385","2023-02-13","Billing","16284","16250","34","C001",\N,"67","1","2023","0","liza1973","","0000000026-01",\N
"24386","2023-02-13","Billing","8898","8704","194","C001",\N,"547","1","2023","0","liza1973","","0000000022-01",\N
"24387","2023-02-13","Billing","3128","0","3128","C001",\N,"9349","1","2023","0","liza1973","","0000000014-01",\N
"24388","2023-02-13","Billing","12023","0","12023","C001",\N,"36034","1","2023","0","liza1973","","0000000046-01",\N
"24389","2023-02-13","Billing","3839","3724","115","C001",\N,"310","1","2023","0","liza1973","","0000001478-01",\N
"24390","2023-02-13","Billing","1186","1158","28","C001",\N,"49","1","2023","0","liza1973","","0000000037-01",\N
"24391","2023-02-13","Billing","457","445","12","C001",\N,"25","1","2023","0","liza1973","","0000000159-01",\N
"24392","2023-02-13","Billing","921","895","26","C001",\N,"43","1","2023","0","liza1973","","0000001930-01",\N
"24393","2023-02-13","Billing","1914","1847","67","C001",\N,"166","1","2023","0","liza1973","","0000000567-01",\N
"24394","2023-02-13","Billing","1044","822","222","C001",\N,"631","1","2023","0","liza1973","","0000001907-01",\N
"24395","2023-02-13","Billing","1445","1379","66","C001",\N,"163","1","2023","0","liza1973","","0000001913-01",\N
"24396","2023-02-13","Billing","329","309","20","C001",\N,"25","1","2023","0","liza1973","","0000001996-01",\N
"24397","2023-02-13","Billing","37","0","37","C002",\N,"98","1","2023","0","liza1973","","0000002016-01",\N
"24398","2023-02-13","Billing","4669","0","4669","C001",\N,"13972","1","2023","0","liza1973","","0000002072-01",\N
"24399","2023-02-13","Billing","10678","0","10678","C001",\N,"31999","1","2023","0","ryanbohol","","0000001210-01",\N
"24400","2023-02-13","Billing","8734","0","8734","C001",\N,"26167","1","2023","0","ryanbohol","","0000001316-01",\N
"24401","2023-02-13","Billing","874","0","874","C001",\N,"2587","1","2023","0","ryanbohol","","0000000755-01",\N
"24402","2023-02-13","Billing","9787","0","9787","C001",\N,"29326","12","2022","0","liza1973","","0000000185-01",\N
"24403","2023-02-13","Billing","4249","4209","40","C001",\N,"85","1","2023","0","ryanbohol","","0000001254-01",\N
"24404","2023-02-13","Billing","5892","5861","31","C001",\N,"58","1","2023","0","ryanbohol","","0000001209-01",\N
"24405","2023-02-13","Billing","430","0","430","C001",\N,"1255","12","2022","0","liza1973","","0000001027-01",\N
"24406","2023-02-13","Billing","5901","5898","3","C001",\N,"25","1","2023","0","ryanbohol","","0000000123-01",\N
"24407","2023-02-13","Billing","6273","6217","56","C001",\N,"133","1","2023","0","ryanbohol","","0000001213-01",\N
"24408","2023-02-13","Billing","4418","4402","16","C001",\N,"25","1","2023","0","ryanbohol","","0000000130-01",\N
"24409","2023-02-13","Billing","9320","8892","9320","C001",\N,"27925","12","2022","0","liza1973","","0000000182-01",\N
"24410","2023-02-13","Billing","2316","0","2316","C001",\N,"6913","1","2023","0","ryanbohol","","0000000110-01",\N
"24411","2023-02-13","Billing","6162","5935","227","C001",\N,"646","1","2023","0","ryanbohol","","0000000163-01",\N
"24412","2023-02-13","Billing","1931","1907","24","C001",\N,"37","1","2023","0","ryanbohol","","0000000177-01",\N
"24413","2023-02-13","Billing","12816","0","12816","C001",\N,"38413","12","2022","0","liza1973","","0000001007-01",\N
"24414","2023-02-13","Billing","4246","0","4246","C001",\N,"12703","1","2023","0","ryanbohol","","0000001211-01",\N
"24415","2023-02-13","Billing","4543","0","4543","C001",\N,"13594","12","2022","0","liza1973","","0000000180-01",\N
"24416","2023-02-13","Billing","7954","7942","12","C001",\N,"25","1","2023","0","ryanbohol","","0000000187-01",\N
"24417","2023-02-13","Billing","522","0","522","C001",\N,"1531","12","2022","0","liza1973","","0000000168-01",\N
"24418","2023-02-13","Billing","2306","2278","28","C001",\N,"49","1","2023","0","ryanbohol","","0000001212-01",\N
"24419","2023-02-13","Billing","12197","0","12197","C001",\N,"36556","12","2022","0","liza1973","","0000000156-01",\N
"24420","2023-02-13","Billing","2456","0","2456","C001",\N,"7333","1","2023","0","ryanbohol","","0000000965-01",\N
"24421","2023-02-13","Billing","85","0","85","C001",\N,"220","1","2023","0","ryanbohol","","0000001580-01",\N
"24422","2023-02-13","Billing","5902","0","5902","C001",\N,"17671","12","2022","0","liza1973","","0000000154-01",\N
"24423","2023-02-13","Billing","169","0","169","C001",\N,"472","1","2023","0","ryanbohol","","0000001503-01",\N
"24424","2023-02-13","Billing","1450","0","1450","C001",\N,"4315","12","2022","0","liza1973","","0000000153-01",\N
"24425","2023-02-13","Billing","912","0","912","C001",\N,"2701","1","2023","0","ryanbohol","","0000001504-01",\N
"24426","2023-02-13","Billing","8245","8119","126","C001",\N,"343","1","2023","0","ryanbohol","","0000001505-01",\N
"24428","2023-02-13","Billing","825","0","825","C001",\N,"2440","1","2023","0","ryanbohol","","0000001506-01",\N
"24429","2023-02-13","Billing","740","0","740","C001",\N,"2185","1","2023","0","ryanbohol","","0000001507-01",\N
"24430","2023-02-13","Billing","2676","2624","52","C001",\N,"121","1","2023","0","ryanbohol","","0000001508-01",\N
"24431","2023-02-13","Billing","6562","0","6562","C001",\N,"19651","12","2022","0","liza1973","","0000000146-01",\N
"24432","2023-02-13","Billing","96","0","96","C001",\N,"253","1","2023","0","ryanbohol","","0000001509-01",\N
"24433","2023-02-13","Billing","2033","1947","86","C001",\N,"223","1","2023","0","ryanbohol","","0000001510-01",\N
"24434","2023-02-13","Billing","2063","2032","31","C001",\N,"58","1","2023","0","ryanbohol","","0000001511-01",\N
"24435","2023-02-13","Billing","2682","2587","95","C001",\N,"250","1","2023","0","ryanbohol","","0000001512-01",\N
"24436","2023-02-13","Billing","8540","0","8540","C001",\N,"25585","12","2022","0","liza1973","","0000000142-01",\N
"24437","2023-02-13","Billing","4255","4139","116","C001",\N,"313","1","2023","0","ryanbohol","","0000001513-01",\N
"24438","2023-02-13","Billing","3522","3491","31","C001",\N,"58","1","2023","0","ryanbohol","","0000001514-01",\N
"24439","2023-02-13","Billing","1450","0","1450","C001",\N,"4315","12","2022","0","liza1973","","0000000139-01",\N
"24440","2023-02-13","Billing","3614","0","3614","C001",\N,"10807","12","2022","0","liza1973","","0000000138-01",\N
"24441","2023-02-13","Billing","1718","0","1718","C001",\N,"5119","1","2023","0","ryanbohol","","0000001485-01",\N
"24442","2023-02-13","Billing","85","0","85","C001",\N,"220","1","2023","0","ryanbohol","","0000001516-01",\N
"24443","2023-02-13","Billing","2182","2144","38","C001",\N,"79","1","2023","0","ryanbohol","","0000001521-01",\N
"24444","2023-02-13","Billing","2496","2457","39","C001",\N,"82","1","2023","0","ryanbohol","","0000001518-01",\N
"24445","2023-02-13","Billing","13","0","13","C001",\N,"25","1","2023","0","ryanbohol","","0000001519-01",\N
"24446","2023-02-13","Billing","593","0","593","C001",\N,"1744","12","2022","0","liza1973","","0000000091-01",\N
"24447","2023-02-13","Billing","416","0","416","C001",\N,"1213","1","2023","0","ryanbohol","","0000001602-01",\N
"24448","2023-02-13","Billing","1285","1265","20","C001",\N,"25","1","2023","0","ryanbohol","","0000001605-01",\N
"24449","2023-02-13","Billing","1230","0","1230","C001",\N,"3655","12","2022","0","liza1973","","0000000119-01",\N
"24450","2023-02-13","Billing","3420","0","3420","C001",\N,"10225","12","2022","0","liza1973","","0000000100-01",\N
"24451","2023-02-13","Billing","1882","0","1882","C001",\N,"5611","1","2023","0","ryanbohol","","0000001532-01",\N
"24452","2023-02-13","Billing","6354","0","6354","C001",\N,"19027","12","2022","0","liza1973","","0000000095-01",\N
"24453","2023-02-13","Billing","365","325","40","C001",\N,"85","1","2023","0","ryanbohol","","0000001611-01",\N
"24454","2023-02-13","Billing","1689","0","1689","C001",\N,"5032","12","2022","0","liza1973","","0000000075-01",\N
"24455","2023-02-13","Billing","446","0","446","C001",\N,"1303","1","2023","0","ryanbohol","","0000001582-01",\N
"24456","2023-02-13","Billing","0","0","0","C001",\N,"25","12","2022","0","liza1973","","0000000088-01",\N
"24457","2023-02-13","Billing","1154","1137","17","C001",\N,"25","1","2023","0","ryanbohol","","0000001672-01",\N
"24458","2023-02-13","Billing","1467","1446","21","C001",\N,"28","1","2023","0","ryanbohol","","0000001671-01",\N
"24459","2023-02-13","Billing","4027","3944","83","C001",\N,"214","1","2023","0","ryanbohol","","0000001600-01",\N
"24460","2023-02-13","Billing","2425","2377","48","C001",\N,"109","1","2023","0","ryanbohol","","0000001601-01",\N
"24461","2023-02-13","Billing","3470","3410","60","C001",\N,"145","1","2023","0","ryanbohol","","0000001689-01",\N
"24462","2023-02-13","Billing","3444","3391","53","C001",\N,"124","1","2023","0","ryanbohol","","0000001515-01",\N
"24463","2023-02-13","Billing","169","0","169","C001",\N,"472","1","2023","0","ryanbohol","","0000001837-01",\N
"24464","2023-02-13","Billing","786","0","786","C001",\N,"2323","1","2023","0","ryanbohol","","0000001836-01",\N
"24465","2023-02-13","Billing","4444","3267","1177","C001",\N,"3496","1","2023","0","ryanbohol","","0000001835-01",\N
"24466","2023-02-13","Billing","75","0","75","C001",\N,"190","1","2023","0","ryanbohol","","0000001533-01",\N
"24467","2023-02-13","Billing","4974","0","4974","C001",\N,"14887","1","2023","0","ryanbohol","","0000001534-01",\N
"24468","2023-02-13","Billing","789","0","789","C001",\N,"2332","1","2023","0","ryanbohol","","0000001565-01",\N
"24469","2023-02-13","Billing","3124","0","3124","C001",\N,"9337","1","2023","0","ryanbohol","","0000001784-01",\N
"24470","2023-02-13","Billing","3728","3674","54","C001",\N,"127","1","2023","0","ryanbohol","","0000001717-01",\N
"24471","2023-02-13","Billing","2651","0","2651","C001",\N,"7918","1","2023","0","ryanbohol","","0000001175-01",\N
"24472","2023-02-13","Billing","4805","4779","26","C001",\N,"43","1","2023","0","ryanbohol","","0000001560-01",\N
"24473","2023-02-13","Billing","2867","0","2867","C001",\N,"8566","12","2022","0","liza1973","","0000000077-01",\N
"24474","2023-02-13","Billing","3037","3027","10","C001",\N,"25","1","2023","0","ryanbohol","","0000001561-01",\N
"24475","2023-02-13","Billing","4517","0","4517","C001",\N,"13516","12","2022","0","liza1973","","0000000044-01",\N
"24476","2023-02-13","Billing","2358","2316","42","C001",\N,"91","1","2023","0","ryanbohol","","0000001562-01",\N
"24477","2023-02-13","Billing","3348","0","3348","C001",\N,"10009","12","2022","0","liza1973","","0000000069-01",\N
"24478","2023-02-13","Billing","2508","2467","41","C001",\N,"88","1","2023","0","ryanbohol","","0000001502-01",\N
"24479","2023-02-13","Billing","3282","0","3282","C001",\N,"9811","12","2022","0","liza1973","","0000000063-01",\N
"24480","2023-02-13","Billing","1774","1710","64","C001",\N,"157","1","2023","0","ryanbohol","","0000001667-01",\N
"24481","2023-02-13","Billing","1556","1","1555","C001",\N,"4630","1","2023","0","ryanbohol","","0000001724-01",\N
"24482","2023-02-13","Billing","303","0","303","C001",\N,"874","1","2023","0","ryanbohol","","0000001755-01",\N
"24483","2023-02-13","Billing","9","0","9","C001",\N,"25","1","2023","0","ryanbohol","","0000000763-01",\N
"24484","2023-02-13","Billing","207","0","207","C001",\N,"586","1","2023","0","ryanbohol","","0000001860-01",\N
"24485","2023-02-13","Billing","5490","0","5490","C001",\N,"16435","12","2022","0","liza1973","","0000000042-01",\N
"24486","2023-02-13","Billing","1528","1490","38","C001",\N,"79","1","2023","0","ryanbohol","","0000001874-01",\N
"24487","2023-02-13","Billing","297","0","297","C001",\N,"856","12","2022","0","liza1973","","0000000034-01",\N
"24488","2023-02-13","Billing","37","0","37","C001",\N,"76","1","2023","0","ryanbohol","","0000001875-01",\N
"24489","2023-02-13","Billing","2590","2524","66","C001",\N,"163","1","2023","0","ryanbohol","","0000000717-01",\N
"24490","2023-02-13","Billing","988","949","39","C001",\N,"82","1","2023","0","ryanbohol","","0000001887-01",\N
"24491","2023-02-13","Billing","4980","0","4980","C001",\N,"14905","12","2022","0","liza1973","","0000000018-01",\N
"24492","2023-02-13","Billing","1274","1253","21","C001",\N,"28","1","2023","0","ryanbohol","","0000001929-01",\N
"24493","2023-02-13","Billing","2215","2172","43","C001",\N,"94","1","2023","0","ryanbohol","","0000001862-01",\N
"24494","2023-02-13","Billing","120","0","120","C001",\N,"325","12","2022","0","liza1973","","0000001050-01",\N
"24495","2023-02-13","Billing","745","738","7","C001",\N,"25","1","2023","0","ryanbohol","","0000001952-01",\N
"24496","2023-02-13","Billing","1720","0","1720","C001",\N,"5125","12","2022","0","liza1973","","0000001791-01",\N
"24497","2023-02-13","Billing","52","0","52","C001",\N,"121","1","2023","0","ryanbohol","","0000001963-01",\N
"24498","2023-02-13","Billing","3122","0","3122","C001",\N,"9331","12","2022","0","liza1973","","0000000014-01",\N
"24499","2023-02-13","Billing","458","0","458","C001",\N,"1339","1","2023","0","ryanbohol","","0000001981-01",\N
"24500","2023-02-13","Billing","12023","0","12023","C001",\N,"36034","12","2022","0","liza1973","","0000000046-01",\N
"24501","2023-02-13","Billing","716","698","18","C001",\N,"25","1","2023","0","ryanbohol","","0000001989-01",\N
"24502","2023-02-13","Billing","27","0","27","C001",\N,"46","1","2023","0","ryanbohol","","0000002046-01",\N
"24503","2023-02-13","Billing","62","0","62","C001",\N,"151","1","2023","0","ryanbohol","","0000002071-01",\N
"24504","2023-02-13","Billing","84","0","84","C001",\N,"217","1","2023","0","ryanbohol","","0000002080-01",\N
"24505","2023-02-13","Billing","50","0","50","C001",\N,"115","1","2023","0","ryanbohol","","0000002087-01",\N
"24506","2023-02-13","Billing","37","0","37","C001",\N,"76","12","2022","0","liza1973","","0000002015-01",\N
"24507","2023-02-13","Billing","4577","0","4577","C001",\N,"13696","12","2022","0","liza1973","","0000002072-01",\N
"24508","2023-02-13","Billing","485","467","18","C001",\N,"25","1","2023","0","liza1973","","0000001768-01",\N
"24509","2023-02-13","Billing","1229","0","1229","C001",\N,"3652","1","2023","0","liza1973","","0000001769-01",\N
"24510","2023-02-13","Billing","1205","0","1205","C001",\N,"3580","12","2022","0","liza1973","","0000001769-01",\N
"24511","2023-02-13","Billing","789","778","11","C001",\N,"25","1","2023","0","liza1973","","0000001393-01",\N
